Programme;AS_Mathematics;AS_Technical_Mathematics;AS_Mathematical_Literacy;Subject_Requirements
BACHELOR OF NURSING;370;385;385;Maths: 50% | Tech Maths or Math Lit: 65% | Life Sciences: 60% | Physical Sciences: 50% | SANC registration required | Medical report required
BACHELOR OF RADIOGRAPHY (DIAGNOSTIC) (BRAD);390;–;–;Maths: 50% | Life Sciences: 50% | Physical Sciences: 50% | Admission subject to selection | Closing date: 30 June
BACHELOR OF EMERGENCY MEDICAL CARE (BEMC);370;385;385;Maths: 50% | Tech Maths or Math Lit: 65% | Life Sciences: 60% | Physical Sciences: 50% | Interview + medical + physical fitness assessment required
BHSC: MEDICAL LABORATORY SCIENCE;390;–;–;Maths: 60% | Life Sciences: 50% | Physical Sciences: 50% | Admission subject to selection
BPHARM (PHARMACY);410;–;–;Maths: 60% | Physical Sciences: 60% | English: 50% (Home or First Add) | Admission subject to selection | Closing date: 30 June
MBCHB (BACHELOR OF MEDICINE AND BACHELOR OF SURGERY);430;–;–;Maths: 60% | Physical Sciences: 60% | Life Sciences: 60% | English: 60% | Admission subject to Medical Selection Committee | Closing date: 30 June
BACHELOR OF VISUAL ART (BVA);350;365;365;Portfolio and interview required | Admission subject to departmental selection
DIPLOMA IN MUSIC (CURRICULUM 1);290;305;305;Audition required | No prior formal music training required
DIPLOMA IN MUSIC (CURRICULUM 2);290;305;305;Audition required | Min Grade 2 standard for First Instrument Intermediate OR Grade 6 for First Instrument Advanced
BMUS (SCHOOL MUSIC);350;365;365;Minimum Grade 6 practical music standard | Minimum Grade 5 music theory | Audition required
BMUS (SCHOOL MUSIC) – EXTENDED CURRICULUM;330;345;345;Admission subject to departmental selection
BMUS (PERFORMING ARTS);350;365;365;Minimum Grade 6 practical music standard | Minimum Grade 5 music theory | Audition required
BMUS (PERFORMING ARTS) – EXTENDED CURRICULUM;330;345;345;Admission subject to departmental selection
BMUS (MUSIC TECHNOLOGY);350;365;365;Minimum Grade 6 practical music standard | Minimum Grade 5 music theory | Audition required
BMUS (MUSIC TECHNOLOGY) – EXTENDED CURRICULUM;330;345;345;Admission subject to departmental selection
BMUS (GENERAL);350;365;365;Minimum Grade 6 practical music standard | Minimum Grade 5 music theory | Audition required
BMUS (GENERAL) – EXTENDED CURRICULUM;330;345;345;Admission subject to departmental selection
DIP (PUBLIC RELATIONS MANAGEMENT);330;345;345;Maths: 30% | Tech Maths: 50% | Math Lit: 50% | 1 year in-service training required
ADVANCED DIPLOMA (PUBLIC RELATIONS MANAGEMENT);–;–;–;Requires: Dip Public Relations Management with 60%
BA (LANGUAGE MEDIA AND COMMUNICATION);350;365;365;Maths: 35% | Tech Maths: 55% | Math Lit: 55% | Language (Home or First Add): 60%
BA (MEDIA COMMUNICATION AND CULTURE);350;365;365;Maths: 35% | Tech Maths: 55% | Math Lit: 55% | Language (Home or First Add): 60%
DIP (PUBLIC MANAGEMENT);310;325;325;Maths: 35% | Tech Maths: 55% | Math Lit: 55%
DIP (PUBLIC MANAGEMENT) – EXTENDED CURRICULUM;290;305;305;Maths: 30% | Tech Maths: 50% | Math Lit: 50%
ADVANCED DIPLOMA (PUBLIC ADMINISTRATION AND MANAGEMENT);–;–;–;Requires: Dip Public Management with 60% overall average
BA (GOVERNMENTAL AND SOCIAL SCIENCES);350;365;365;Maths: 35% | Tech Maths: 55% | Math Lit: 55% | Language (Home or First Add): 60%
BA (POLITICS AND ECONOMICS);350;365;365;Maths: 40% | Tech Maths: 70% | Math Lit: 70% | Language (Home or First Add): 60%
BADMIN (PUBLIC ADMINISTRATION);350;365;365;Maths: 35% | Tech Maths: 55% | Math Lit: 55%
HCERT (LAW ENFORCEMENT);310;325;325;English Home: 50% | English First Add: 55%
DIP (LAW ENFORCEMENT);330;345;345;English Home: 55% | English First Add: 60%
BA (LAW);390;405;405;Maths: 50% | Tech Maths or Math Lit: 75% | English Home: 65% | English First Add: 70%
BCOM (LAW);390;–;–;Maths: 60% | Math Lit: Not accepted | English Home: 65% | English First Add: 70%
LLB (LAW);390;–;–;Maths: 50% | Math Lit: Not accepted | English Home: 65% | English First Add: 70%
LLB – EXTENDED CURRICULUM;370;385;385;Maths: 45% | Tech Maths or Math Lit: 70% | English Home: 60% | English First Add: 65%
DIP (AGRICULTURAL MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60% | Physical Sciences or Tech Science: 40% | OR Life Sciences: 50% | OR Agricultural Sciences: 55%
DIP (ANALYTICAL CHEMISTRY);350;–;–;Maths: 55% | Physical Sciences: 50% | 1 year Work Integrated Learning required
DIP (GAME RANCH MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (POLYMER TECHNOLOGY);350;–;–;Maths: 55% | Physical Sciences: 50% | 6-12 months Work Integrated Learning required
DIP (CHEMICAL PROCESS TECHNOLOGY);350;–;–;Maths: 55% | Physical Sciences: 50% | Note: medical screening for asthma/lung disease | 6-12 months Work Integrated Learning required
ADVANCED DIPLOMA (ANALYTICAL CHEMISTRY);–;–;–;Requires: Dip Analytical Chemistry or BSc with Chemistry major at 60%+
ADVANCED DIPLOMA (AGRICULTURAL MANAGEMENT);–;–;–;Requires: 360-credit Diploma in Agricultural Management with 60%+ average
ADVANCED DIPLOMA (GAME RANCH MANAGEMENT);–;–;–;Requires: 360-credit Diploma in Game Ranch Management with 60%+ average
BSC (BIOLOGICAL SCIENCES);410;–;–;Maths: 60%
BSC (BIOLOGICAL SCIENCES) – EXTENDED CURRICULUM;370;–;–;Maths: 50%
BSC (BIOCHEMISTRY CHEMISTRY MICROBIOLOGY AND PHYSIOLOGY);410;–;–;Maths: 60%
BSC (BIOCHEMISTRY CHEMISTRY MICROBIOLOGY AND PHYSIOLOGY) – EXTENDED CURRICULUM;370;–;–;Maths: 50%
BSC (ENVIRONMENTAL SCIENCES);410;–;–;Maths: 60%
BSC (ENVIRONMENTAL SCIENCES) – EXTENDED CURRICULUM;370;–;–;Maths: 50%
BSC: GEOSCIENCES (GEOLOGY AND GEOGRAPHY);410;–;–;Maths: 60%
BSC: GEOSCIENCES (GEOLOGY AND GEOGRAPHY) – EXTENDED CURRICULUM;370;–;–;Maths: 50%
BSC (COMPUTER SCIENCE);410;–;–;Maths: 65%
BSC (PHYSICAL SCIENCE AND MATHEMATICS);410;–;–;Maths: 65%
GEORGE CAMPUS – HCERT (BUSINESS STUDIES);290;290;305;Maths or Tech Maths: 30% | Math Lit: 50%
GEORGE CAMPUS – DIP (MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
GEORGE CAMPUS – DIP (MANAGEMENT) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
GEORGE CAMPUS – DIP (MARKETING);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
GEORGE CAMPUS – DIP (MARKETING) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
GEORGE CAMPUS – DIP (TOURISM MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
GEORGE CAMPUS – DIP (TOURISM MANAGEMENT) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
GEORGE CAMPUS – ADVANCED DIPLOMA (BUSINESS STUDIES: MANAGEMENT PRACTICE);–;–;–;Requires: relevant 360-credit Diploma in chosen specialisation
GEORGE CAMPUS – ADVANCED DIPLOMA (BUSINESS STUDIES: MARKETING MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in chosen specialisation
GEORGE CAMPUS – ADVANCED DIPLOMA (BUSINESS STUDIES: TOURISM MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in chosen specialisation
GEORGE CAMPUS – BCOM: GENERAL;390;–;–;Maths: 50%
GEORGE CAMPUS – BCOM: GENERAL – EXTENDED CURRICULUM;370;–;–;Maths: 45%
GEORGE CAMPUS – BCOM (ACCOUNTING);410;–;–;Maths: 60%
GEORGE CAMPUS – BCOM (GENERAL ACCOUNTING);390;–;–;Maths: 50%
GEORGE CAMPUS – BCOM (GENERAL ACCOUNTING) – EXTENDED CURRICULUM;370;–;–;Maths: 45%
GEORGE CAMPUS – BCOM: GENERAL (BUSINESS MANAGEMENT AND INDUSTRIAL AND ORGANISATIONAL PSYCHOLOGY);390;–;–;Maths: 50%
GEORGE CAMPUS – HCERT: IT (USER SUPPORT SERVICES);290;290;305;Maths or Tech Maths: 35% | Math Lit: 55%
GEORGE CAMPUS – DIP (AGRICULTURAL MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60% | Physical Sciences or Tech Science: 40% | OR Life Sciences: 50% | OR Agricultural Sciences: 55%
GEORGE CAMPUS – DIP (FORESTRY);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60% | Physical Sciences or Tech Science: 40% | OR Life Sciences: 50% | OR Agricultural Sciences: 55%
GEORGE CAMPUS – DIP (NATURE CONSERVATION);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60% | Physical Sciences or Tech Science: 40% | OR Life Sciences: 50%
GEORGE CAMPUS – DIP (WOOD TECHNOLOGY);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60% | Physical Sciences or Tech Science: 40%
GEORGE CAMPUS – ADVANCED DIPLOMA (AGRICULTURAL MANAGEMENT);–;–;–;Requires: 360-credit Diploma in Agricultural Management with 60%+ average
GEORGE CAMPUS – ADVANCED DIPLOMA (WOOD TECHNOLOGY);–;–;–;Requires: 360-credit Diploma in Wood Technology with 60%+ average
GEORGE CAMPUS – ADVANCED DIPLOMA (FORESTRY);–;–;–;Requires: 360-credit Diploma in Forestry with 60%+ average
GEORGE CAMPUS – ADVANCED DIPLOMA (NATURE CONSERVATION);–;–;–;Requires: 360-credit Diploma in Nature Conservation or equivalent with 60%+ average
